class_id,class_name,instances,images_containing_class
120,kamut,817,817
43,carrot,812,812
214,soursop,801,801
93,fish_sauce,797,797
205,sausage,794,794
16,barley,793,793
85,elderberry,790,790
193,rhubarb,790,790
28,bread,787,787
235,vegetable_oil,785,785
224,sunflower_oil,785,785
195,rigatoni,784,784
106,goose,780,780
65,coffee,778,778
188,radicchio,778,778
42,caribou,777,777
147,mutton,777,777
27,boysenberry,777,777
115,ham,776,776
55,chickpea,776,776
50,cherry,776,776
60,clam,776,776
190,ramp,776,776
161,parsnip,775,775
239,white_peach,775,775
86,elk,773,773
107,grapefruit,772,772
227,tangerine,772,772
82,durian,772,772
234,turnip,772,772
6,artichoke,772,772
80,duck,771,771
160,paprika,770,770
127,leek,769,769
232,turkey,769,769
30,broccoli,769,769
64,cod,768,768
167,peach,766,766
78,deer,766,766
213,sour_cherry,766,766
13,baked_bean,765,765
41,cardamom,765,765
149,nectarine,765,765
169,pear,765,765
36,butter,764,764
88,farfalle,764,764
216,spaghetti,764,764
87,emmer,762,762
143,mulberry,761,761
58,chive,761,761
198,rutabaga,760,760
187,rabbit,759,759
139,mandarin,758,758
84,einkorn,757,757
233,turmeric,757,757
206,savoy_cabbage,755,755
114,haddock,755,755
168,peanut_oil,755,755
155,onion,755,755
122,kiwi,754,754
153,olive_oil,754,754
191,raspberry,753,753
210,shallot,753,753
110,green_onion,753,753
176,pineapple,753,753
21,black_bean,752,752
104,goat,752,752
54,chicken_thigh,752,752
209,sesame_oil,751,751
4,apple,751,751
217,spelt,751,751
14,bamboo_shoot,750,750
189,radish,750,750
181,pomelo,750,750
83,egg,750,750
89,farro,750,750
150,nutmeg,749,749
29,breadfruit,749,749
228,teff,748,748
184,pumpkin,748,748
137,macaroni,748,748
47,chard_stalk,747,747
208,semolina,747,747
180,polenta,747,747
142,millet,746,746
24,blackberry,746,746
240,wild_boar,746,746
128,lemon,746,746
174,pheasant,745,745
144,mung_bean,744,744
10,avocado,744,744
129,lemongrass,744,744
220,squirrel,743,743
68,corn,743,743
146,mustard_green,743,743
112,guava,743,743
175,pickle,743,743
162,partridge,742,742
48,cheese,742,742
39,canola_oil,742,742
7,artichoke_heart,741,741
45,celeriac,741,741
141,milk,741,741
185,quail,741,741
44,cauliflower,740,740
79,dragon_fruit,740,740
212,sorghum,740,740
156,orange,739,739
40,caper,738,738
230,trout,738,738
90,fava_bean,738,738
170,peas,738,738
99,fusilli,738,738
215,soybean,738,738
33,buckwheat,737,737
237,watercress,737,737
109,green_bean,736,736
200,salsa,736,736
117,huckleberry,736,736
111,grouse,735,735
15,banana,735,735
97,freekeh,735,735
164,pasta,735,735
77,daikon,735,735
53,chicken_breast,735,735
192,refried_bean,734,734
108,grapeseed_oil,734,734
116,horseradish,734,734
46,celery,734,734
171,penne,734,734
124,kumquat,734,734
134,linguine,734,734
22,black_cherry,734,734
75,cucumber,733,733
159,papaya,733,733
31,broccoli_stem,733,733
103,glass_noodle,733,733
226,swiss_chard,732,732
59,cinnamon,731,731
5,apricot,731,731
126,lasagna,731,731
231,tuna,730,730
148,navy_bean,730,730
81,dumpling_wrapper,730,730
121,kidney_bean,730,730
38,cannellini_bean,729,729
135,lobster,728,728
118,jackfruit,728,728
145,mushroom,728,728
91,fennel,727,727
61,clove,727,727
100,garlic,727,727
199,salmon,727,727
202,santol,727,727
70,cornmeal,726,726
73,cracked_wheat,726,726
221,strawberry,726,726
241,yuzu,726,726
102,ginger,726,726
19,bergamot,725,725
98,fruit_cocktail,725,725
23,black_sapote,725,725
179,pluot,724,724
72,crab,724,724
51,chia,723,723
132,lima_bean,723,723
196,romaine,723,723
131,lettuce,723,723
204,sardine,723,723
52,chicken,722,722
34,buffalo,722,722
166,pawpaw,722,722
66,collard_green,722,722
158,oyster,721,721
35,bulgur,721,721
11,avocado_oil,721,721
225,sweet_potato,720,720
123,kohlrabi,720,720
67,coriander,719,719
113,guinea_fowl,719,719
207,scallop,719,719
25,blueberry,719,719
26,bok_choy,719,719
182,pork,719,719
12,bacon,719,719
57,chili_sauce,719,719
101,garlic_bulb,719,719
203,sapote,718,718
20,bison,717,717
0,adzuki_bean,717,717
178,plum,717,717
8,arugula,716,716
194,rice,716,716
105,goji_berry,715,715
119,kale,714,714
94,flaky_salt,713,713
238,wheat_bran,713,713
95,flaxseed_oil,712,712
92,fettuccine,712,712
63,coconut_oil,710,710
154,olives,710,710
211,shrimp,710,710
218,spinach,710,710
69,corn_grit,709,709
37,cabbage,709,709
219,squab,708,708
56,chili_pepper,708,708
140,mango,708,708
151,oat,706,706
172,pepper,705,705
197,rotini,705,705
49,cherimoya,705,705
173,pesto,703,703
183,potato,703,703
133,lime,702,702
2,amaranth,702,702
163,passion_fruit,702,702
138,mackerel,701,701
62,coconut,700,700
1,allspice,699,699
165,pasta_sauce,699,699
17,beef,697,697
157,ostrich,697,697
236,venison,694,694
76,cumin,693,693
125,lamb,692,692
74,cranberry,689,689
136,lychee,688,688
32,brussels_sprout,688,688
18,beet,686,686
177,pinto_bean,682,682
186,quinoa,678,678
